url,brand,name,Product Category,Category,SubCategory,MicroCategory,Description,Item/SKU,Image,UPC (gtin13),Ingredients,How to Use/Apply
https://www.spacenk.com/us/skincare/moisturisers/day-moisturiser/the-rich-cream-MUK200029386.html,Augustinus Bader,The Rich Cream,,skincare,moisturisers,day-moisturiser,"Deeply nourish and boost the skin's natural renewal process with Augustinus Bader The Rich Cream, ideal for normal to dry skin, especially in cold temperatures",MUK200029386,https://www.spacenk.com/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw29974f7f/products/AUGUSTINUS/UK200029386_AUGUSTINUS.jpg,5060552901892,AQUA/WATER/EAU|| COCO-CAPRYLATE/CAPRATE|| HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL|| SQUALANE|| GLYCERIN|| ARGANIA SPINOSA KERNEL OIL|| ETHYL OLEATE|| PERSEA GRATISSIMA (AVOCADO) OIL|| POLYGLYCERYL-4 OLEATE|| MAGNESIUM SULFATE|| OENOTHERA BIENNIS (EVENING PRIMROSE) OIL|| PANTHENOL|| POLYGLYCERYL-6 OLEATE|| ZINC PCA|| POLYHYDROXYSTEARIC ACID|| BUTYLENE GLYCOL|| BUTYROSPERMUM PARKII (SHEA) BUTTER|| POTASSIUM SORBATE|| SODIUM BENZOATE|| TOCOPHEROL|| SODIUM HYALURONATE|| HYDROLYZED RICE PROTEIN|| MALTODEXTRIN|| CITRIC ACID|| CAMELLIA SINENSIS LEAF EXTRACT|| HYDROGENATED LECITHIN|| TOCOPHERYL ACETATE|| XANTHAN GUM|| ALANYL GLUTAMINE|| ARGININE|| OLIGOPEPTIDE-177|| PHENYLALANINE|| SISYMBRIUM IRIO SEED OIL|| SODIUM CHLORIDE|| DEXTRAN|| PALMITOYL TRIPEPTIDE-8,"For optimum usage, on cleansed, dry skin, smooth two pumps over the face, neck and decollete morning and evening."
https://www.spacenk.com/us/skincare/moisturisers/day-moisturiser/bora-barrier-repair-cream-MUK200041575.html,Drunk Elephant,Bora Barrier Repair Cream,,skincare,moisturisers,day-moisturiser,"Hydrate, repair and protect the skin with Drunk Elephant Borra Barrier Repair Cream. Strengthens the skin barrier for firmer, renewed skin.",UK200041575,https://www.spacenk.com/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw473358a5/products/DRUNK_ELEP/UK200041575_DRUNK_ELEP.jpg,,WATER/AQUA/EAU|| GLYCERIN|| PROPANEDIOL|| ETHYLHEXYL OLIVATE|| BUTYROSPERMUM PARKII (SHEA) BUTTER|| C10-18 TRIGLYCERIDES|| CETEARYL ALCOHOL|| HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER|| CETEARYL OLIVATE|| SORBITAN OLIVATE|| BETA-SISTEROL|| OENOTHERA BIENNIS (EVENING PRIMROSE) OIL|| SCLEROCARYA BIRREA SEED OIL|| SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL|| CALOPHYLLUM INOPHYLLUM SEED OIL|| OLEIC ACID|| SQUALANE|| BUTYLENE GLYCOL|| GLUCOSYL CERAMIDE|| LINOLEIC ACID|| LINOLENIC ACID|| GLYCOSPHINGOLIPIDS|| ROSA CANINA FRUIT OIL|| MORINGA OLEIFERA SEED OIL|| ALPHA-GLUCAN|| RESVERATROL|| EPIGALLOCATECHIN GALLATE|| MAGNESIUM ASPARTATE|| ZINC GLUCONATE|| COPPER GLUCONATE|| ACACIA SENEGAL GUM|| SODIUM PCA|| PALMITOYL TRIPEPTIDE-1|| PALMITOYL TETRAPEPTIDE-7|| SORBITAN ISOSTEARATE|| HAEMATOCOCCUS PLUVIALIS EXTRACT|| QUERCETIN|| ASTAXANTHIN|| MAGNESIUM ASCORBYL PHOSPHATE|| CERAMIDE AP|| CERAMIDE NP|| CERAMIDE EOP|| DEXTRIN|| PALMITIC ACID|| COCO-GLUCOSIDE|| SODIUM LACTATE|| STEARIC ACID|| PENTYLENE GLYCOL|| BRASSICA CAMPESTRIS (RAPESEED) SEED OIL|| TETRAHEXYLDECYL ASCORBATE|| SODIUM LAUROYL LACTYLATE|| PHYTOSPHINGOSINE|| CHOLESTEROL|| XANTHAN GUM|| TETRASODIUM GLUTAMATE DIACETATE|| CITRIC ACID|| PHENOXYETHANOL|| SODIUM HYDROXIDE|| TOCOPHEROL|| POLYSORBATE 60|| CARBOMER|| ETHYLHEXYLGLYCERIN,
https://www.spacenk.com/us/skincare/lipcare/lip-balm/lip-butter-balm-MUK200031226.html,Summer Fridays,Lip Butter Balm,,skincare,lipcare,lip-balm,"Moisturise lips with Summer Fridays Lip Butter Balm, a lip balm that provides instant moisture and shine and leaves lips feeling softer and smoother.",MUK200031226,https://www.spacenk.com/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw4feaba97/products/SUMMER_FRI/UK200031226_SUMMER_FRI.jpg,8500048524152,PHYTOSTERYL /ISOSTEARYL/CETYL/ STEARYL/ BEHENYL DIMER DILINOLEATE|| DIISOSTEARYL MALATE|| HYDROGENATED POLYISOBUTENE|| POLYBUTENE|| HYDROGENATED POLY(C6-14 OLEFIN)||BUTYROSPERMUM PARKII (SHEA) BUTTER|| MICROCRYSTALLINE WAX / CERA MICROCRISTALLINA / CIRE MICROCRYSTALLINE|| OCTYLDODECANOL|| SYNTHETIC WAX|| DISTEARDIMONIUM HECTORITE|| POLYGLYCERYL-2 DIISOSTEARATE||MICA|| VANILLIN|| ASTROCARYUM MURUMURU SEED BUTTER|| PROPYLENE CARBONATE|| TOCOPHEROL||SODIUM HYALURONATE,Use when your lips need extra hydration throughout the day—or as a overnight lip mask.
https://www.spacenk.com/us/skincare/treatment/blemish-acne-treatment/hydro-stars-pimple-patches-compact-MUK200048645.html,Starface,Hydro-Stars Pimple Patches + Compact,,skincare,treatment,blemish-acne-treatment,The Starface Hydro-Stars + Big Yellow has all that’s needed to target spots. With 32 hydrocolloid stars for quick healing.,UK200048645,https://www.spacenk.com/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw7e84eb60/products/STARFACE/UK200048645_STARFACE.jpg,8600021068090,HYDROCOLLOID DRESSING,"Apply to clean, dry skin. Leave on overnight (or 6+ hours) for best results. Lift off in the morning and replace with a new star (if you want)."
https://www.spacenk.com/us/skincare/treatment/serums/d-bronzi-anti-pollution-drops-MUK200028779.html,Drunk Elephant,D-Bronzi Anti-Pollution Drops,,skincare,treatment,serums,"Drunk Elephant D-Bronzi Anti-Pollution Sunshine Drops enhance the complexion with a bronze tint, while its antioxidant properties defend against free radicals.",UK200028779,https://www.spacenk.com/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw09c78b8e/products/DRUNK_ELEP/UK200028779_DRUNK_ELEP.jpg,8123430320646,WATER/AQUA/EAU|| HYDROGENATED POLYISOBUTENE|| GLYCERYL OLEATE CITRATE|| MICA|| HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER|| GLYCERIN|| RIBES NIGRUM (BLACK CURRANT) SEED OIL|| SCLEROCARYA BIRREA SEED OIL|| THEOBROMA CACAO (COCOA) EXTRACT|| CAPRYLIC/CAPRIC TRIGLYCERIDE|| VITIS VINIFERA (GRAPE) SEED EXTRACT|| LECITHIN|| ACETYL TETRAPEPTIDE-17|| LINOLEIC ACID|| LINOLENIC ACID|| SORBITAN ISOSTEARATE|| CAMELLIA SINENSIS LEAF EXTRACT|| MALTODEXTRIN|| SODIUM HYALURONATE CROSSPOLYMER|| MAGNOLIA OFFICINALIS BARK EXTRACT|| GLUTAMYLAMIDOETHYL IMIDAZOLE|| COLLOIDAL PLATINUM [NANO]|| TOCOPHEROL|| PHENOXYETHANOL|| PENTYLENE GLYCOL|| SODIUM BENZOATE|| SORBIC ACID|| CAPRYLYL GLYCOL|| BORON NITRIDE|| HEXYLENE GLYCOL|| POLYSORBATE 60|| ETHYLHEXYLGLYCERIN|| CI 77491 (IRON OXIDES)|| CI 77492 (IRON OXIDES)|| CI 77499 (IRON OXIDES)|| SODIUM C14-16 OLEFIN SULFONATE.,"Add a drop of D-Bronzi to any Drunk Elephant serum, oil or moisturizer for a gorgeous glow and a potent dose of protective antioxidants and omega fatty acids."
https://www.spacenk.com/us/skincare/lipcare/lip-balm/lip-sleeping-mask-MUK200038638.html,LANEIGE,Lip Sleeping Mask,,skincare,lipcare,lip-balm,"Intensely hydrate and nourish lips with the Laneige Lip Sleeping Mask, an intensive care lip mask that helps soften and smooth lips.",MUK200038638,https://www.spacenk.com/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw3172ec04/products/LANEIGE/UK200038638_LANEIGE.jpg,8809803532549,LSM Pink Lemonade Shade Berry: DIISOSTEARYL MALATE|| HYDROGENATED POLYISOBUTENE|| PHYTOSTERYL/ISOSTEARYL/CETYL/STEARYL/BEHENYL DIMERDILINOLEATE|| POLYBUTENE|| HYDROGENATED POLY(C6-14 OLEFIN)|| MICROCRYSTALLINE WAX / CERA MICROCRISTALLINA /CIRE MICROCRISTALLINE|| BUTYROSPERMUM PARKII (SHEA) BUTTER|| SYNTHETIC WAX|| ETHYLENE/PROPYLENE/STYRENECOPOLYMER|| SUCROSE TETRASTEARATE TRIACETATE|| MICA|| EUPHORBIA CERIFERA (CANDELILLA) WAX / EUPHORBIACERIFERA CERA / CIRE DE CANDELILLA|| CANDELILLA WAX ESTERS|| ASTROCARYUM MURUMURU SEED BUTTER||FRAGRANCE / PARFUM|| GLYCERYL CAPRYLATE|| COPERNICIA CERIFERA (CARNAUBA) WAX / COPERNICIA CERIFERA CERA /CIRE DE CARNAUBA|| BUTYLENE/ETHYLENE/STYRENE COPOLYMER|| METHICONE|| POLYGLYCERYL-2 TRIISOSTEARATE|| RED 30(CI 73360)|| COCOS NUCIFERA (COCONUT) OIL|| PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE||ASCORBIC ACID|| WATER / AQUA / EAU|| GLYCERIN|| PROPANEDIOL|| BHT|| PUNICA GRANATUM FRUIT JUICE|| RUBUS IDAEUS (RASPBERRY) JUICE|| VITIS VINIFERA (GRAPE) JUICELSM Pink Lemonade Shade Lemon: DIISOSTEARYL MALATE|| HYDROGENATED POLYISOBUTENE|| PHYTOSTERYL/ISOSTEARYL/CETYL/STEARYL/BEHENYL DIMERDILINOLEATE|| POLYBUTENE|| HYDROGENATED POLY(C6-14 OLEFIN)|| MICROCRYSTALLINE WAX / CERA MICROCRISTALLINA /CIRE MICROCRISTALLINE|| BUTYROSPERMUM PARKII (SHEA) BUTTER|| SYNTHETIC WAX|| ETHYLENE/PROPYLENE/STYRENECOPOLYMER|| SUCROSE TETRASTEARATE TRIACETATE|| MICA|| EUPHORBIA CERIFERA (CANDELILLA) WAX / EUPHORBIACERIFERA CERA / CIRE DE CANDELILLA|| LIMONENE|| CANDELILLA WAX ESTERS|| ASTROCARYUM MURUMURU SEED BUTTER||FRAGRANCE / PARFUM|| POLYGLYCERYL-2 TRIISOSTEARATE|| TITANIUM DIOXIDE (CI 77891)|| GLYCERYL CAPRYLATE|| YELLOW10 LAKE (CI 47005)|| COPERNICIA CERIFERA (CARNAUBA) WAX / COPERNICIA CERIFERA CERA / CIRE DE CARNAUBA||BUTYLENE/ETHYLENE/STYRENE COPOLYMER|| METHICONE|| YELLOW 5 LAKE (CI 19140)|| CITRAL|| COCOS NUCIFERA (COCONUT) OIL|| LINALOOL|| PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE|| ASCORBIC ACID|| WATER /AQUA / EAU|| GLYCERIN|| PROPANEDIOL|| BHT|| PUNICA GRANATUM FRUIT JUICE|| RUBUS IDAEUS (RASPBERRY) JUICE|| VITISVINIFERA (GRAPE) JUICE,Apply generously and leave on overnight. Gently wipe off remains next morning
https://www.spacenk.com/us/skincare/moisturisers/day-moisturiser/protini-polypeptide-cream-MUK200021928.html,Drunk Elephant,Protini Polypeptide Cream,,skincare,moisturisers,day-moisturiser,"Rejuvenate the skin and boost collagen production with Drunk Elephant Protini Polypeptide Cream, a rich daily moisturiser formulated for dry and dehydrated skin.",MUK200021928,https://www.spacenk.com/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw694a4341/products/DRUNK_ELEP/UK200021928_DRUNK_ELEP.jpg,8565560047398,WATER/AQUA/EAU|| DICAPRYLYL CARBONATE|| GLYCERIN|| CETEARYL ALCOHOL|| CETEARYL OLIVATE|| SORBITAN OLIVATE|| SCLEROCARYA BIRREA SEED OIL|| BACILLUS/SOYBEAN/ FOLIC ACID FERMENT EXTRACT|| NYMPHAEA ALBA ROOT EXTRACT|| SH-OLIGOPEPTIDE-1|| SH-OLIGOPEPTIDE-2|| SH-POLYPEPTIDE-1|| SH-POLYPEPTIDE-9|| SH-POLYPEPTIDE-11|| COPPER PALMITOYL HEPTAPEPTIDE-14|| HEPTAPEPTIDE-15 PALMITATE|| PALMITOYL TETRAPEPTIDE-7|| PALMITOYL TRIPEPTIDE-1|| ALANINE|| ARGININE|| GLYCINE|| HISTIDINE|| ISOLEUCINE|| PHENYLALANINE|| PROLINE|| SERINE|| THREONINE|| VALINE|| ACETYL GLUTAMINE|| COCONUT ALKANES|| COCO-CAPRYLATE/CAPRATE|| SODIUM HYALURONATE|| ASPARTIC ACID|| LINOLEIC ACID|| LINOLENIC ACID|| LECITHIN|| BUTYLENE GLYCOL|| POLYVINYL ALCOHOL|| SODIUM LACTATE|| SODIUM PCA|| PCA|| SORBITAN ISOSTEARATE|| CARBOMER|| POLYSORBATE 20|| POLYSORBATE 60|| LACTIC ACID/GLYCOLIC ACID COPOLYMER|| HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER|| XANTHAN GUM|| ISOMALT|| 1||2-HEXANEDIOL|| CAPRYLYL GLYCOL|| CHLORPHENESIN|| PHENOXYETHANOL|| TOCOPHEROL|| SODIUM BENZOATE|| PHENYLPROPANOL|| GLYCERYL CAPRYLATE|| SYMPHYTUM OFFICINALE CALLUS CULTURE EXTRACT,"Morning and night, apply one pump of Protini on the skin for deeply nourished and supple skin. For even better results, drop your favourite serum on the pump and mix before applying to the face."
https://www.spacenk.com/us/skincare/treatment/serums/vitamin-c-complex-serum-MUK200036508.html,NATURIUM,Vitamin C Complex Serum,,skincare,treatment,serums,"Shield the skin against environmental stressors with Naturium Vitamin C Complex Serum, a brightening serum that works to firm and protect.",UK200036508,https://www.spacenk.com/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw0a709cbf/products/NATURIUM/UK200036508_NATURIUM.jpg,8104560201838,WATER (AQUA)|| GLYCERIN|| PROPANEDIOL|| SODIUM ASCORBYL PHOSPHATE|| ASCORBIC ACID|| GLUTATHIONE|| ANANAS SATIVUS (PINEAPPLE) FRUIT EXTRACT|| CARICA PAPAYA (PAPAYA) FRUIT EXTRACT|| MANGIFERA INDICA (MANGO) FRUIT EXTRACT|| TERMINALIA FERDINANDIANA FRUIT EXTRACT|| PLEIOGYNIUM TIMORIENSE FRUIT EXTRACT|| PODOCARPUS ELATUS FRUIT EXTRACT|| ALOE BARBADENSIS LEAF JUICE|| SODIUM HYALURONATE|| CARBOMER|| TOCOPHERYL ACETATE|| PHENOXYETHANOL|| CAPRYLYL GLYCOL|| CITRIC ACID|| HYDROXYETHYLCELLULOSE|| SODIUM HYDROXIDE|| BETA-GLUCAN|| POTASSIUM SORBATE|| HEXYLENE GLYCOL|| SORBITOL|| XANTHAN GUM|| ALGIN|| BENZOIC ACID|| SORBIC ACID|| 1||2-HEXANEDIOL|| SODIUM BENZOATE|| DISODIUM PHOSPHATE|| GOLD|| POLYSORBATE 60|| SODIUM PHOSPHATE.,
https://www.spacenk.com/us/skincare/treatment/masks/jet-lag-mask-MUK200030979.html,Summer Fridays,Jet Lag Mask,,skincare,treatment,masks,"Bring the business-class touch to tired stressed skin with Summer Fridays Jet Lag Mask, a hydrating mask rich in vitamins, minerals and ceramides.",MUK200030979,https://www.spacenk.com/on/demandware.static/-/Sites-spacenkmastercatalog/default/dwc67dee07/products/SUMMER_FRI/UK200030979_SUMMER_FRI.jpg,8500048523230,WATER/AQUA/EAU|| CAPRYLIC/CAPRIC TRIGLYCERIDE|| DIHEPTYL SUCCINATE|| BUTYROSPERMUM PARKII (SHEA) BUTTER|| CETEARYL ALCOHOL|| HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER|| NIACINAMIDE|| PENTYLENE GLYCOL|| GLYCERIN|| SORBITAN STEARATE|| GLYCERYL STEARATE|| SODIUM HYALURONATE|| CERAMIDE EOP|| CERAMIDE NP|| CERAMIDE AP|| AMINOPROPYL ASCORBYL PHOSPHATE|| ALLANTOIN|| BISABOLOL|| PANTHENOL|| PHYSALIS ANGULATA EXTRACT|| CASTANEA SATIVA (CHESTNUT) SEED EXTRACT|| TOCOPHERYL ACETATE|| PHYTOSPHINGOSINE|| CAPRYLOYL GLYCERIN/SEBACIC ACID COPOLYMER|| ETHYLHEXYLGLYCERIN|| TETRASODIUM GLUTAMATE DIACETATE|| CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT|| CHOLESTEROL|| SODIUM LAUROYL LACTYLATE|| CARBOMER|| XANTHAN GUM|| PEG-100 STEARATE|| PHENOXYETHANOL.,"On cleansed, dry skin apply a thin, even layer with fingertips. May be used under and over the eye area. Leave for 10 minutes for maximum hydration. Blot with a warm cloth or tissue if necessary—no need to rinse!"
https://www.spacenk.com/us/brands/t/the-ordinary/the-clear-set-MUK200039681.html,The Ordinary,The Clear Set,,brands,t,the-ordinary,"The Ordinary The Clear Set features a three-step skincare routine to cleanse, exfoliate and hydrate the skin for a clearer, brighter look.",UK200039681,https://www.spacenk.com/on/demandware.static/-/Sites-spacenkmastercatalog/default/dwd2883e9b/products/ORDINARY/UK200039681_ORDINARY.jpg,7699152332300,,
